time_s,east_m,north_m,up_m
56.0,212.79999999999998,95.2,1426.5847744427303
56.5,214.7,96.05,1431.6956153033711
57.0,216.6,96.89999999999999,1436.6262250273958
57.5,218.5,97.75,1441.3759829176493
58.0,220.39999999999998,98.6,1445.94429104378
58.5,222.29999999999998,99.45,1450.3305743175094
59.0,224.2,100.3,1454.5342805650303
59.5,226.1,101.14999999999999,1458.5548805965147
60.0,228.0,102.0,1462.3918682727353
60.5,229.89999999999998,102.85,1466.0447605687787
61.0,231.79999999999998,103.7,1469.5130976348535
61.5,233.7,104.55,1472.7964428541777
62.0,235.6,105.39999999999999,1475.8943828979445
62.5,237.5,106.25,1478.8065277773537
63.0,239.39999999999998,107.1,1481.5325108927066
63.5,241.29999999999998,107.95,1484.071989079555
64.0,243.2,108.8,1486.424642651902
64.5,245.1,109.64999999999999,1488.590175442446
65.0,247.0,110.5,1490.568314839864
65.5,248.89999999999998,111.35,1492.3588118231285
66.0,250.79999999999998,112.2,1493.9614409928586
66.5,252.7,113.05,1495.376000599692
67.0,254.6,113.89999999999999,1496.602312569684
67.5,256.5,114.75,1497.640222526725
68.0,258.4,115.6,1498.4895998119719
68.5,260.3,116.45,1499.1503375002999
69.0,262.2,117.3,1499.6223524137597
69.5,264.09999999999997,118.14999999999999,1499.9055851320509
70.0,266.0,119.0,1500.0
70.5,267.9,119.85,1499.9055851320509
71.0,269.8,120.7,1499.6223524137597
71.5,271.7,121.55,1499.1503375002999
72.0,273.59999999999997,122.39999999999999,1498.489599811972
72.5,275.5,123.25,1497.640222526725
73.0,277.4,124.1,1496.602312569684
73.5,279.3,124.95,1495.376000599692
74.0,281.2,125.8,1493.9614409928586
74.5,283.09999999999997,126.64999999999999,1492.3588118231285
75.0,285.0,127.5,1490.568314839864
75.5,286.9,128.35,1488.5901754424463
76.0,288.8,129.2,1486.424642651902
76.5,290.7,130.04999999999998,1484.071989079555
77.0,292.59999999999997,130.9,1481.5325108927066
77.5,294.5,131.75,1478.8065277773537
78.0,296.4,132.6,1475.8943828979445
78.5,298.3,133.45,1472.7964428541777
79.0,300.2,134.29999999999998,1469.5130976348535
79.5,302.09999999999997,135.15,1466.0447605687789
80.0,304.0,136.0,1462.3918682727353
80.5,305.9,136.85,1458.554880596515
81.0,307.8,137.7,1454.5342805650303
81.5,309.7,138.54999999999998,1450.3305743175097
82.0,311.59999999999997,139.4,1445.9442910437801
82.5,313.5,140.25,1441.3759829176495
83.0,315.4,141.1,1436.6262250273958
83.5,317.3,141.95,1431.6956153033711
84.0,319.2,142.79999999999998,1426.5847744427306
84.5,321.09999999999997,143.65,1421.2943458312932
85.0,323.0,144.5,1415.8249954625514
85.5,324.9,145.35,1410.1774118538285
86.0,326.8,146.2,1404.3523059596057
86.5,328.7,147.04999999999998,1398.3504110820215
87.0,330.59999999999997,147.9,1392.1724827785586
87.5,332.5,148.75,1385.8192987669304
88.0,334.4,149.6,1379.2916588271762
88.5,336.3,150.45,1372.5903847009797
89.0,338.2,151.29999999999998,1365.7163199882239
89.5,340.09999999999997,152.15,1358.670330040791
90.0,342.0,153.0,1351.4533018536288
90.5,343.9,153.85,1344.0661439530877
91.0,345.8,154.7,1336.5097862825519
91.5,347.7,155.54999999999998,1328.7851800853698
92.0,349.59999999999997,156.4,1320.893297785107
92.5,351.5,157.25,1312.8351328631306
93.0,353.4,158.1,1304.6116997335432
93.5,355.3,158.95,1296.224033615482
94.0,357.2,159.79999999999998,1287.6731904027993
94.5,359.09999999999997,160.65,1278.9602465311384
95.0,361.0,161.5,1270.0862988424265
95.5,362.9,162.35,1261.0524644467953
96.0,364.79999999999995,163.2,1251.859880581954
96.5,366.7,164.04999999999998,1242.5097044700249
97.0,368.59999999999997,164.9,1233.003113171865
97.5,370.5,165.75,1223.3413034388902
98.0,372.4,166.6,1213.5254915624212
98.5,374.29999999999995,167.45,1203.556913220567
99.0,376.2,168.29999999999998,1193.4368233226714
99.5,378.09999999999997,169.15,1183.1664958513365
100.0,380.0,170.0,1172.747223702045
100.5,381.9,170.85,1162.1803185204014
101.0,383.79999999999995,171.7,1151.4671105370169
101.5,385.7,172.54999999999998,1140.6089484000465
102.0,387.59999999999997,173.4,1129.6071990054165
102.5,389.5,174.25,1118.4632473247486
103.0,391.4,175.1,1107.178496231011
103.5,393.29999999999995,175.95,1095.7543663219167
104.0,395.2,176.79999999999998,1084.1922957410873
104.5,397.09999999999997,177.65,1072.493739997013
105.0,399.0,178.5,1060.6601717798214
105.5,400.9,179.35,1048.6930807758863
106.0,402.79999999999995,180.2,1036.593973480297
106.5,404.7,181.04999999999998,1024.3643730072106
107.0,406.59999999999997,181.9,1012.0058188981117
107.5,408.5,182.75,999.5198669280061
108.0,410.4,183.6,986.9080889095691
108.5,412.29999999999995,184.45,974.1720724952756
109.0,414.2,185.29999999999998,961.3134209775363
109.5,416.09999999999997,186.15,948.3337530868646
110.0,418.0,187.0,935.2347027881004
110.5,419.9,187.85,922.0179190747159
111.0,421.79999999999995,188.7,908.6850657612299
111.5,423.7,189.54999999999998,895.2378212737557
112.0,425.59999999999997,190.4,881.6778784387099
112.5,427.5,191.25,868.0069442697088
113.0,429.4,192.1,854.2267397526781
113.5,431.29999999999995,192.95,840.3389996292043
114.0,433.2,193.79999999999998,826.345472178154
114.5,435.09999999999997,194.65,812.2479189955886
115.0,437.0,195.5,798.0481147730051
115.5,438.9,196.35,783.7478470739234
116.0,440.79999999999995,197.2,769.3489161088594
116.5,442.7,198.04999999999998,754.8531345087002
117.0,444.59999999999997,198.9,740.2623270965205
117.5,446.5,199.75,725.5783306578597
118.0,448.4,200.6,710.8029937094981
118.5,450.29999999999995,201.45,695.9381762667513
119.0,452.2,202.29999999999998,680.9857496093202
119.5,454.09999999999997,203.15,665.9475960457233
120.0,456.0,204.0,650.8256086763373
120.5,457.9,204.85,635.6216911550832
121.0,459.79999999999995,205.7,620.3377574497811
121.5,461.7,206.54999999999998,604.9757316012077
122.0,463.59999999999997,207.4,589.5375474808856
122.5,465.5,208.25,574.0251485476348
123.0,467.4,209.1,558.4404876029179
123.5,469.29999999999995,209.95,542.7855265450083
124.0,471.2,210.79999999999998,527.0622361220142
124.5,473.09999999999997,211.65,511.27259568378753
125.0,475.0,212.5,495.4185929327508
125.5,476.9,213.35,479.50222367367235
126.0,478.79999999999995,214.2,463.5254915624213
126.5,480.7,215.04999999999998,447.4904078537343
127.0,482.59999999999997,215.9,431.3989911480261
127.5,484.5,216.75,415.2532671372742
128.0,486.4,217.6,399.05526835001285
128.5,488.29999999999995,218.45,382.8070338954638
129.0,490.2,219.29999999999998,366.51060920684125
129.5,492.09999999999997,220.15,350.1680457838583
130.0,494.0,221.0,333.7814009344718
130.5,495.9,221.85,317.35273751589443
131.0,497.79999999999995,222.7,300.88412367490935
131.5,499.7,223.54999999999998,284.37763258751784
132.0,501.59999999999997,224.4,267.83534219795513
132.5,503.5,225.25,251.25933495710478
133.0,505.4,226.1,234.65169756034646
133.5,507.29999999999995,226.95,218.01452068486924
134.0,509.2,227.79999999999998,201.3498987264834
134.5,511.09999999999997,228.65,184.65992953596444
135.0,513.0,229.5,167.94671415496197
135.5,514.9,230.35,151.21235655150693
136.0,516.8,231.2,134.45896335515044
136.5,518.6999999999999,232.04999999999998,117.6886435917676
137.0,520.6,232.9,100.90350841805966
137.5,522.5,233.75,84.10567085578786
138.0,524.4,234.6,67.29724552577257
138.5,526.3,235.45,50.480348381691066
139.0,528.1999999999999,236.29999999999998,33.65709644370759
139.5,530.1,237.15,16.829607531969064
140.0,532.0,238.0,1.8369701987210297e-13
